user_id, text, lat, lon
487900041, "Aqu\u00ed buscando terroristas matarlos mis propias manos. https://t.co/m1I2cy9U8L", 40.4743836, -3.6378672
186478529, "ESN : Spain arrests man accused recruiting inmates ISIS: Spanish National Police officers stand guard\u2026 https://t.co/erVnPs3Tyd", 40.41970731, -3.69855957
186478529, "ESN : Spain's mainstream parties gain ground Paris attacks - poll: But Spain growing again, though\u2026 https://t.co/uwYvO93rf1", 40.41970731, -3.69855957
186478529, "ESN : Spain ISIS threat: Police arrest Moroccan man threatened bomb Madrid Barcelona: Two ex-inmates of\u2026 https://t.co/nfoYxkdLgF", 40.41970731, -3.69855957
186478529, "ESN : Islamic State Video Demands France Withdraw From Syria Like Spain From Iraq: In new video, Islamic\u2026 https://t.co/3vuuRYKcN8", 40.41970731, -3.69855957
186478529, "ESN : Two inmates Spain recruited hundreds militants Iraq Syria, police say: Two men serving prison\u2026 https://t.co/xAx3vFnw1h", 40.41970731, -3.69855957
271996747, ".@Pablo_Iglesias_ y @PSOE coinciden hoy: En Espa\u00f1a nadie salvo @Albert_Rivera est\u00e1 d acuerdo enviar tropas Siria #IglesiasForoEM", 40.4391272, -3.7039614
271996747, ".@Pablo_Iglesias_ a\u00fan ir\u00e1 manifestaci\u00f3n contra ataques internacionales Siria. #IglesiasForoEM", 40.4391272, -3.7039614
1027204951, "Que otra cosa digo, bombardeos EEUU y Francia siempre acaban algun cabecilla y bases del ISIS, Rusia colegios, hospitales +", 40.3449722, -3.8159208
783157418, "@txemadomi @gudaricatala1 @Zurine3 Rusia se enzarza OTAN, escenario servido III GM y sentencia pa Turqu\u00eda y Siria", 40.3404298, -3.8462228
783157418, "@txemadomi @gudaricatala1 @Zurine3 momento Putin, ya acusa Turqu\u00eda c\u00f3mplice d ISIS. No se busca excusa intervenci\u00f3n militar", 40.3404298, -3.8462228
487900041, "Pueden decir pues t\u00fa vas siria b\u00e1sicamente morir que vas morir que hay, y o vas o vas, eso vida", 40.4743836, -3.6378672
308991132, "Gracias! @MacoQuebueno: Excelente an\u00e1lisis del discurso del maltrato cultura x LFreixas @LaVanguardia https://t.co/bfRvQCHHpi", 40.4231159, -3.6965377
630223892, "#muslimsarenotterrorists #ultraslan #madrid #espa\u00f1a #bug\u00fcnde #yar\u0131nda #galatasaray \ud83d\udc9b\u2764\ufe0f\ud83d\udc9b\u2764\ufe0f @ Gran Via,\u2026 https://t.co/HO4RodyJuc", 40.4225861, -3.70913453
381524419, "S\u00e1nchez:El 24h hizo programacion estupendala noche atentados Par\u00eds.Antes o despu\u00e9s d volver pel\u00edcula programada? #BertinyPedro", 40.39785958, -3.7060278
186478529, "ESN : ISIS To The World: 'Bring It On'; Threatens Mexico, Spain, US, China, Japan, Russia, Iran In New ...: ISIS\u2026 https://t.co/ltjgScNewj", 40.41970731, -3.69855957
3390661523, "@analisisalcubo @cartesius78 @visludica se aligera XDD, pesadito setup merece pena", 40.4239998, -3.7216579
