"","usr_ids","lats","longs"
"1","1027204951",40.343652785567,-3.81969555463918
"2","113110776",37.615157952618,-14.7212370781116
"3","1179981192",40.4203,-3.7058
"4","130816861",42.6007708313333,-3.14615701466667
"5","1445924880",40.22576005415,-3.11117532535
"6","1449550838",40.413431115,-3.687415555
"7","1966678669",40.413717768,-3.688819096
"8","211926434",38.8895532,-77.0231586
"9","222083433",40.3160083251553,-2.26055089074534
"10","271996747",40.4514920076923,-3.69192639230769
"11","300445924",40.4066720181818,-3.67504572272727
"12","302558091",40.4300808438596,-3.68479154210526
"13","3390661523",40.4369669042105,-3.76037358684211
"14","362683016",40.5150977033254,-3.1623629584323
"15","381524419",40.4011090847458,-3.70755413694915
"16","38865298",-12.657042315642,98.5964058403891
"17","41557723",41.15657529,0.253751371428571
"18","487900041",40.4745616989691,-3.63791361701031
"19","49839706",41.1997805679554,7.95498553026022
"20","591929366",40.22576005415,-3.11117532535
"21","622100444",40.3818812423729,-3.67448406949153
"22","630223892",39.8986714594203,28.3262337235507
"23","6571822",40.5101571926078,-3.66980164517454
"24","7742252",40.370317105,-3.78062255875
"25","783157418",40.3980532509091,-3.67552792909091
"26","835799874",40.4412599890909,-3.68686572181818
"27","895171171",40.395293000507,-3.65460836907042
"28","926212477",40.7572708914043,-3.94398589753192
