"","user_id","text","lat","lon","lang","cluster"
"156",823755344," I know thank hug. I confuse Muslim terrorist. #thankyou\\\\u2026 https://t.co/naMJCgbV32",48.884543,2.374683," en",3
"183",823755344," #spray4paris #sprayforparis #yosh #phanielbn #boxvincent #fluctuatnecmergitur #spayforparis\\\\u2026 https://t.co/x3W4vu6WZK",48.884543,2.374683," en",3
"293",823755344," Tomorrow #France pays #tribute #victims terrorist attacks November 13 #131115\\\\u2026 https://t.co/DUWlABd7uY",48.884543,2.374683," en",3
