"","Topic 1","Topic 2","Topic 3"
"1","pari","prayforpari","eiffel"
"2","libertyinpari","franc","tour"
"3","eiffeltow","parisismag","toureiffel"
"4","parisislif","tower","love"
"5","igerspari","mobilephotographi","patriot"
"6","blackfriday","catacomb","today"
