"","V1","V2","V3"
"1",0.304597701149425,0.32183908045977,0.373563218390805
"2",0.311111111111111,0.311111111111111,0.377777777777778
"3",0.299435028248588,0.333333333333333,0.367231638418079
"4",0.333333333333333,0.31638418079096,0.350282485875706
"5",0.384180790960452,0.31638418079096,0.299435028248588
"6",0.350282485875706,0.31638418079096,0.333333333333333
"7",0.367231638418079,0.333333333333333,0.299435028248588
"8",0.344444444444444,0.344444444444444,0.311111111111111
"9",0.333333333333333,0.333333333333333,0.333333333333333
"10",0.311111111111111,0.377777777777778,0.311111111111111
"11",0.33879781420765,0.355191256830601,0.306010928961749
"12",0.351190476190476,0.333333333333333,0.315476190476191
"13",0.339080459770115,0.35632183908046,0.304597701149425
"14",0.306010928961749,0.33879781420765,0.355191256830601
"15",0.339080459770115,0.32183908045977,0.339080459770115
"16",0.308641975308642,0.345679012345679,0.345679012345679
"17",0.327777777777778,0.344444444444444,0.327777777777778
"18",0.361111111111111,0.327777777777778,0.311111111111111
"19",0.350282485875706,0.31638418079096,0.333333333333333
"20",0.350282485875706,0.333333333333333,0.31638418079096
"21",0.344444444444444,0.327777777777778,0.327777777777778
"22",0.339080459770115,0.32183908045977,0.339080459770115
"23",0.345029239766082,0.327485380116959,0.327485380116959
"24",0.367231638418079,0.350282485875706,0.282485875706215
"25",0.350282485875706,0.333333333333333,0.31638418079096
"26",0.35632183908046,0.32183908045977,0.32183908045977
"27",0.333333333333333,0.333333333333333,0.333333333333333
"28",0.31638418079096,0.367231638418079,0.31638418079096
"29",0.361111111111111,0.344444444444444,0.294444444444444
