"","user_id","text","lat","lon","lang","cluster"
"63",3297911474," #saintcloud #prayforparis #parisianlifestyle #parisianlife #paris #coexister #church #gothicstyle\\\\u2026 https://t.co/mpZTOAdN2g",48.88669444,2.343," en",0
"64",3297911474," #saintcloud #prayforparis #parisianlifestyle #parisianlife #paris #coexister #church #gothicstyle\\\\u2026 https://t.co/epo7qaota0",48.88669444,2.343," en",0
"425",2577313446," lost trying \\\\ud83c\\\\udf0c @ Cormeilles-en-Parisis https://t.co/ZcxWd7BOZ3",48.9833,2.2," en",0
"717",2577313446," long long way - damien rice \\\\ud83c\\\\udfa7 @ Cormeilles-en-Parisis https://t.co/CSBv9IeayY",48.9833,2.2," en",0
"801",222234801," @humourdegauchee @nb_off s'appelle acte terroriste",48.91241782,2.50664551," en",0
