"","x"
"pari",922
"frn",791
"franc",524
"attacks",422
"french",330
"polic",100
"suspect",79
"france",78
"terror",78
"victim",66
"arrest",62
"nation",54
"prayforpari",48
"teacher",46
"holland",44
"man",44
"isi",43
"air",42
"presid",42
"peopl",41
"belgium",39
"bataclan",38
"kill",38
"trndnl",37
"vote",36
"raid",35
"state",35
"new",33
"wake",32
"farright",31
"front",31
"ban",30
"follow",30
"syria",29
"trend",29
"tribut",29
"week",29
"dead",28
"novemb",28
"photo",28
"elect",27
"pay",26
"stab",26
"say",25
"death",24
"link",24
"right",24
"secur",24
"servic",24
"victims",24
"author",23
"hold",23
"identifi",23
"far",22
"frenchu",22
"friday",22
"islam",22
"mastermind",22
"mourn",22
"afp",21
"huaweishot",21
"franceklm",20
"honor",20
"jesuispari",20
"memori",20
"russia",20
"minist",19
"poll",19
"seek",19
"two",19
"win",19
"francoi",18
"near",18
"wifi",18
"bono",17
"brouisisfak",17
"concert",17
"held",17
"topic",17
"abaaoud",16
"armi",16
"austria",16
"dog",16
"month",16
"offici",16
"region",16
"shut",16
"cop",15
"day",15
"mosqu",15
"said",15
"tor",15
"attacker",14
"latest",14
"men",14
"obama",14
"yearold",14
"abdelhamid",13
"economi",13
"httpstcoiqiqmqzol",13
"impact",13
"issu",13
"public",13
"puppi",13
"bomber",12
"franceu",12
"intellig",12
"interior",12
"investig",12
"live",12
"photograph",12
"prosecutor",12
"rememb",12
"ringlead",12
"suspects",12
"fan",11
"first",11
"hall",11
"hit",11
"know",11
"million",11
"plan",11
"psg",11
"suburb",11
"want",11
"amid",10
"ceremoni",10
"cet",10
"emerg",10
"extend",10
"huawei",10
"monday",10
"muslim",10
"probe",10
"replac",10
"suicid",10
"three",10
"away",9
"bar",9
"boost",9
"cafe",9
"call",9
"carri",9
"cite",9
"climat",9
"cnn",9
"continu",9
"die",9
"draw",9
"eiffeltow",9
"gather",9
"govern",9
"growth",9
"homag",9
"join",9
"just",9
"lead",9
"left",9
"milit",9
"paid",9
"parc",9
"perform",9
"prayforparisu",9
"princ",9
"push",9
"refuge",9
"reopen",9
"respons",9
"reuters",9
"round",9
"stand",9
"third",9
"top",9
"toureiffel",9
"travel",9
"turn",9
"twitter",9
"video",9
"will",9
"woman",9
"alert",8
"attacksu",8
"britain",8
"brussel",8
"claim",8
"cost",8
"deni",8
"des",8
"destroy",8
"eagl",8
"entri",8
"fear",8
"fight",8
"forc",8
"fou",8
"free",8
"meet",8
"nov",8
"offer",8
"open",8
"parisattack",8
"peopleu",8
"reel",8
"says",8
"set",8
"slow",8
"solemn",8
"sunday",8
"surg",8
"talk",8
"visit",8
"war",8
"warn",8
"weeksu",8
"aftermath",7
"airstrik",7
"attentat",7
"barack",7
"belgian",7
"believ",7
"bonn",7
"bourget",7
"consid",7
"flag",7
"foreign",7
"gain",7
"give",7
"hommag",7
"hostag",7
"hunt",7
"islamist",7
"law",7
"lost",7
"madonna",7
"memepaspeur",7
"mention",7
"metal",7
"minister",7
"name",7
"novembre",7
"offic",7
"place",7
"police",7
"possibl",7
"postpari",7
"remain",7
"report",7
"search",7
"see",7
"sinc",7
"stade",7
"strike",7
"support",7
"thisisthevot",7
"tuesday",7
"widen",7
"world",7
"abdeslam",6
"ahead",6
"antiterror",6
"assault",6
"bernard",6
"big",6
"bodies",6
"ceremony",6
"climatpaix",6
"close",6
"confirm",6
"connect",6
"diesel",6
"estim",6
"europ",6
"eye",6
"footbal",6
"franueoi",6
"geneva",6
"hamilton",6
"help",6
"high",6
"honour",6
"launch",6
"lbg",6
"music",6
"need",6
"northern",6
"note",6
"one",6
"outsid",6
"pictur",6
"popular",6
"preschool",6
"question",6
"raids",6
"releas",6
"rts",6
"russian",6
"school",6
"seen",6
"source",6
"stadium",6
"strasbourg",6
"syrian",6
"take",6
"telefoot",6
"tension",6
"took",6
"trackoftheday",6
"tweet",6
"ueroport",6
"write",6
"act",5
"amp",5
"arrested",5
"attend",5
"back",5
"begin",5
"california",5
"cameron",5
"capital",5
"changetheclim",5
"chief",5
"children",5
"citi",5
"compens",5
"crackdown",5
"dark",5
"dec",5
"detain",5
"duncanlovesphotographi",5
"earthcrisi",5
"elections",5
"elector",5
"emergency",5
"euros",5
"frenchman",5
"germani",5
"head",5
"home",5
"hour",5
"identified",5
"increas",5
"intensifi",5
"invok",5
"iraq",5
"kerri",5
"kindergarten",5
"leader",5
"major",5
"make",5
"mask",5
"member",5
"mohamedaggad",5
"mourning",5
"now",5
"number",5
"obeygi",5
"party",5
"pass",5
"policeu",5
"post",5
"propos",5
"publish",5
"record",5
"reject",5
"result",5
"return",5
"risk",5
"saintdeni",5
"share",5
"show",5
"soldier",5
"solidar",5
"song",5
"sourc",5
"stateu",5
"stop",5
"strip",5
"survivor",5
"taken",5
"terroru",5
"time",5
"tourism",5
"update",5
"use",5
"wear",5
"young",5
"alleg",4
"anonym",4
"anthrax",4
"appear",4
"architectur",4
"army",4
"attackers",4
"bamako",4
"bomb",4
"british",4
"busi",4
"cafue",4
"cazeneuv",4
"christma",4
"citizen",4
"come",4
"cult",4
"daesh",4
"danger",4
"euro",4
"evil",4
"expect",4
"extremist",4
"fabius",4
"face",4
"famili",4
"fate",4
"frontman",4
"frontu",4
"gigs",4
"got",4
"grow",4
"guard",4
"guid",4
"gun",4
"happen",4
"hashtag",4
"hollandeu",4
"hotel",4
"idd",4
"insaisiss",4
"internet",4
"last",4
"led",4
"lesuppl",4
"lie",4
"london",4
"look",4
"lose",4
"mark",4
"militari",4
"moscow",4
"nationalu",4
"notinmynam",4
"parti",4
"patrol",4
"pen",4
"play",4
"protest",4
"putin",4
"puzzl",4
"regionalu",4
"relat",4
"reveal",4
"revenu",4
"salah",4
"save",4
"send",4
"shepardfairey",4
"sign",4
"singer",4
"sit",4
"site",4
"situat",4
"speak",4
"supporter",4
"suspectedu",4
"thisismari",4
"thisisnottheendofonedirect",4
"threat",4
"thursday",4
"tour",4
"train",4
"twou",4
"uacm",4
"ufrench",4
"unit",4
"user",4
"voter",4
"wednesdayu",4
"west",4
"accept",3
"activ",3
"airlin",3
"android",3
"announc",3
"anti",3
"apart",3
"applic",3
"ask",3
"authoritiesu",3
"bier",3
"birmingham",3
"blackandwhit",3
"block",3
"bodi",3
"briana",3
"came",3
"campaign",3
"cancel",3
"candl",3
"carrier",3
"cast",3
"chang",3
"clash",3
"club",3
"coordin",3
"court",3
"cyprus",3
"daili",3
"david",3
"december",3
"declar",3
"demand",3
"describ",3
"despit",3
"document",3
"dure",3
"east",3
"eastern",3
"econom",3
"eiffel",3
"emergencyu",3
"enter",3
"even",3
"explos",3
"fallout",3
"final",3
"followingu",3
"forecast",3
"francesu",3
"gear",3
"gig",3
"good",3
"group",3
"gunman",3
"gunmen",3
"hope",3
"hours",3
"imag",3
"info",3
"inform",3
"instructor",3
"invalid",3
"iphon",3
"jihadist",3
"kit",3
"klm",3
"laurent",3
"lawmak",3
"level",3
"lightu",3
"like",3
"love",3
"lurch",3
"marin",3
"massacr",3
"match",3
"mayor",3
"migrant",3
"militantsu",3
"ministeru",3
"miss",3
"mom",3
"mps",3
"mull",3
"network",3
"nurseri",3
"obey",3
"office",3
"oper",3
"parisian",3
"parliament",3
"peac",3
"phone",3
"photographeru",3
"pledg",3
"plot",3
"polici",3
"polit",3
"power",3
"pray",3
"prayforpeac",3
"presidentu",3
"prime",3
"protect",3
"reach",3
"receiv",3
"recent",3
"respect",3
"rue",3
"safe",3
"saidu",3
"scene",3
"sector",3
"security",3
"securityu",3
"seri",3
"shift",3
"shock",3
"shot",3
"societypuppet",3
"songu",3
"special",3
"spotlight",3
"stabbing",3
"start",3
"subdu",3
"suggest",3
"syriabound",3
"syriavot",3
"talks",3
"team",3
"tell",3
"text",3
"today",3
"topapp",3
"track",3
"trenddrivensocieti",3
"trendinghashtag",3
"trendingprofil",3
"tri",3
"tributeu",3
"trust",3
"tweets",3
"unidentifi",3
"unknown",3
"visita",3
"web",3
"wednesday",3
"welcom",3
"wheel",3
"window",3
"written",3
"youth",3
"aberdeen",2
"abuja",2
"academ",2
"acceptedu",2
"acci",2
"account",2
"address",2
"admit",2
"adopt",2
"affect",2
"aggad",2
"ago",2
"aid",2
"airbas",2
"aircraft",2
"airstrikes",2
"algerian",2
"although",2
"american",2
"ammunit",2
"antiisi",2
"aptopix",2
"archiv",2
"area",2
"arrestedu",2
"art",2
"assail",2
"award",2
"band",2
"bank",2
"base",2
"becom",2
"belt",2
"bernardu",2
"best",2
"bid",2
"biere",2
"blew",2
"blue",2
"bnw",2
"book",2
"border",2
"bought",2
"boycott",2
"break",2
"breakthrough",2
"brother",2
"brows",2
"brussels",2
"buri",2
"carlastyles",2
"carnage",2
"castingu",2
"celin",2
"center",2
"challenges",2
"chemic",2
"chill",2
"church",2
"client",2
"coalition",2
"commemor",2
"concertu",2
"conduct",2
"courtyard",2
"coverag",2
"crisi",2
"crisis",2
"data",2
"dawnu",2
"deathu",2
"declin",2
"defianc",2
"deliv",2
"denis",2
"deton",2
"deu",2
"devast",2
"dion",2
"discuss",2
"display",2
"district",2
"divid",2
"drink",2
"drop",2
"duti",2
"earli",2
"earlyu",2
"easyjet",2
"economyu",2
"effect",2
"effort",2
"encrypt",2
"enrol",2
"europes",2
"eurozon",2
"event",2
"everyth",2
"extens",2
"fanat",2
"fast",2
"father",2
"figur",2
"file",2
"financ",2
"firstu",2
"fled",2
"flight",2
"flower",2
"floweru",2
"fresh",2
"fridayu",2
"friend",2
"fugit",2
"fund",2
"gave",2
"general",2
"german",2
"gift",2
"global",2
"government",2
"grey",2
"hail",2
"hallu",2
"hamiltonu",2
"hard",2
"hartford",2
"hero",2
"holiday",2
"hollande",2
"hood",2
"httpstcoblsfrunciy",2
"httpstcobucvzh",2
"httpstcodqquqtn",2
"httpstcogcdakxzh",2
"httpstcoibetwvk",2
"httpstcoiitgfsdus",2
"httpstcoqxahcihnt",2
"httpstcouqvecxo",2
"httpstcovybbk",2
"httpstcoyluekd",2
"huftel",2
"huge",2
"impromptu",2
"improveu",2
"indentifi",2
"industri",2
"insid",2
"inspir",2
"invent",2
"involv",2
"iprayforpari",2
"italian",2
"januari",2
"jean",2
"john",2
"journalist",2
"judici",2
"justic",2
"key",2
"keyu",2
"killed",2
"ladefens",2
"lamb",2
"later",2
"les",2
"less",2
"leu",2
"lille",2
"list",2
"liveinpari",2
"maddyrweu",2
"mail",2
"malcolm",2
"mali",2
"mani",2
"manu",2
"manuel",2
"marksu",2
"masarura",2
"massacre",2
"massiv",2
"mean",2
"media",2
"memorial",2
"middecemb",2
"middecember",2
"midland",2
"migrants",2
"minut",2
"moham",2
"molenbeek",2
"morn",2
"morning",2
"moroccan",2
"mosque",2
"mosques",2
"mourner",2
"move",2
"multipl",2
"necessari",2
"news",2
"newu",2
"nicola",2
"nigeria",2
"nightmare",2
"novemberu",2
"nurs",2
"nurseryu",2
"nyt",2
"occur",2
"oliv",2
"oppari",2
"opportun",2
"organis",2
"paint",2
"partyu",2
"paul",2
"pierr",2
"placeu",2
"pogba",2
"pose",2
"prayforeveryon",2
"prayforsyria",2
"president",2
"prevent",2
"promis",2
"pull",2
"radic",2
"raf",2
"railway",2
"rais",2
"rate",2
"react",2
"read",2
"redu",2
"reduc",2
"regionu",2
"reopens",2
"rescu",2
"restrict",2
"revenue",2
"revisit",2
"ringleader",2
"robust",2
"russiau",2
"saintdenis",2
"sarkozi",2
"saturdayu",2
"saw",2
"sawu",2
"seeka",2
"senior",2
"sever",2
"shake",2
"shine",2
"shop",2
"shoulder",2
"signal",2
"silenc",2
"ski",2
"slight",2
"sofitel",2
"sofitelparisfbg",2
"solemnu",2
"solesin",2
"spark",2
"spread",2
"stachouchou",2
"stage",2
"step",2
"stereophon",2
"story",2
"stretcher",2
"stretchers",2
"strong",2
"suffer",2
"surviv",2
"symbol",2
"target",2
"terrac",2
"terrorizedu",2
"thank",2
"theatr",2
"thing",2
"thousand",2
"threeu",2
"thursdayu",2
"timbault",2
"titleu",2
"totch",2
"touch",2
"tough",2
"tower",2
"town",2
"tpmpofficiel",2
"tricolor",2
"tripl",2
"troop",2
"turkey",2
"turkish",2
"ucth",2
"unifi",2
"unsur",2
"updates",2
"urg",2
"uufef",2
"vall",2
"victimsu",2
"victori",2
"victorian",2
"vienna",2
"voteu",2
"vow",2
"wait",2
"wantu",2
"warm",2
"warning",2
"water",2
"way",2
"whether",2
"white",2
"wine",2
"women",2
"work",2
"year",2
"yell",2
"yelledu",2
"abaaoudu",1
"abort",1
"abrimi",1
"access",1
"accompaniesu",1
"accord",1
"accus",1
"accusedu",1
"across",1
"actingu",1
"activist",1
"actual",1
"actupu",1
"addressingu",1
"administrativeu",1
"afraid",1
"agenc",1
"agnesu",1
"agre",1
"airbnb",1
"airbus",1
"alarm",1
"aliv",1
"allegi",1
"alli",1
"allow",1
"almahmod",1
"almostu",1
"alongsid",1
"aloud",1
"already",1
"ambassador",1
"amnesti",1
"amyu",1
"anitterror",1
"ann",1
"anteat",1
"antiimmigrantu",1
"antimigr",1
"anywhere",1
"appeal",1
"approach",1
"aptnu",1
"architect",1
"archivist",1
"arm",1
"armyu",1
"arriv",1
"artcop",1
"artderueu",1
"artisan",1
"artistu",1
"arturbain",1
"assad",1
"assailant",1
"assaults",1
"associationu",1
"astonishing",1
"atmospher",1
"atrocities",1
"attackedu",1
"attackersu",1
"attitud",1
"audrey",1
"aureli",1
"australian",1
"avert",1
"awayu",1
"backing",1
"bag",1
"bakeri",1
"bandu",1
"barney",1
"barneyu",1
"bassist",1
"bbc",1
"beat",1
"becomeu",1
"beef",1
"began",1
"begins",1
"behaviour",1
"behind",1
"beleagu",1
"belgiumu",1
"bello",1
"bend",1
"benghalem",1
"biereu",1
"biggest",1
"biker",1
"billboard",1
"billion",1
"bily",1
"bin",1
"biuere",1
"black",1
"blame",1
"blasts",1
"blight",1
"blog",1
"bloodi",1
"blow",1
"boag",1
"boast",1
"bobigny",1
"bon",1
"booksel",1
"boot",1
"bordeaux",1
"borders",1
"breaking",1
"bri",1
"bringbackourgirls",1
"briton",1
"browser",1
"brusselspari",1
"budget",1
"build",1
"bullets",1
"buse",1
"business",1
"businesses",1
"buy",1
"bva",1
"cal",1
"calai",1
"calaisu",1
"camerau",1
"canada",1
"candid",1
"candlelit",1
"candles",1
"capit",1
"capitalu",1
"car",1
"carriedu",1
"caus",1
"cave",1
"cazeneuveu",1
"cell",1
"centeru",1
"central",1
"centre",1
"centreright",1
"change",1
"changeclim",1
"changeclimat",1
"changementclimatiqueu",1
"charli",1
"chat",1
"chef",1
"chiefu",1
"childhood",1
"chime",1
"chris",1
"city",1
"civil",1
"civilu",1
"classroom",1
"coalit",1
"coast",1
"coffe",1
"coffin",1
"coffinsu",1
"cold",1
"color",1
"colour",1
"combat",1
"comeback",1
"command",1
"commemoration",1
"communiti",1
"complain",1
"complet",1
"compromis",1
"concentr",1
"concord",1
"condemn",1
"conductedu",1
"conference",1
"confidence",1
"connected",1
"connotations",1
"considerationu",1
"constitution",1
"consul",1
"consult",1
"contact",1
"continua",1
"continues",1
"contrast",1
"contro",1
"control",1
"conundrum",1
"cool",1
"cooperation",1
"cope",1
"copfr",1
"cops",1
"copu",1
"corbyn",1
"cornel",1
"cornwallisu",1
"counter",1
"counterterror",1
"counterterrorismu",1
"countri",1
"country",1
"cousin",1
"cpr",1
"crack",1
"crash",1
"crawl",1
"critic",1
"curb",1
"current",1
"custodi",1
"custody",1
"custom",1
"cuz",1
"dad",1
"darker",1
"darkness",1
"davidu",1
"deadliestu",1
"deadlyu",1
"debat",1
"debray",1
"deceased",1
"decherf",1
"decid",1
"decis",1
"dedic",1
"deep",1
"deeper",1
"defeat",1
"defenc",1
"defens",1
"defi",1
"deficit",1
"defin",1
"degenhardt",1
"demonstr",1
"depart",1
"departur",1
"depth",1
"desecr",1
"desmotsbleus",1
"destin",1
"destinationsu",1
"detail",1
"detaine",1
"detent",1
"detour",1
"develop",1
"developmentsu",1
"diari",1
"diedu",1
"dilemma",1
"dimanch",1
"dine",1
"dip",1
"diplomaci",1
"diplomaticu",1
"disastr",1
"discreetly",1
"dismantleu",1
"dissent",1
"distraught",1
"dobrynya",1
"doe",1
"donat",1
"doubl",1
"download",1
"dozen",1
"draft",1
"draftedu",1
"drag",1
"dragnet",1
"drape",1
"drawn",1
"drinker",1
"drivenu",1
"drum",1
"druze",1
"dude",1
"duncanlovestravelu",1
"eager",1
"earlier",1
"economy",1
"edg",1
"editor",1
"effeil",1
"eifel",1
"elder",1
"elit",1
"elud",1
"elyse",1
"email",1
"embattl",1
"emot",1
"emotionalu",1
"end",1
"endur",1
"enforc",1
"england",1
"enteringu",1
"environmentalu",1
"erad",1
"escal",1
"esplanad",1
"estac",1
"ethnic",1
"etienn",1
"europa",1
"european",1
"evacu",1
"everdugo",1
"everyon",1
"exagger",1
"exceed",1
"expand",1
"expat",1
"experienc",1
"explain",1
"exploit",1
"exploitedu",1
"extremism",1
"facil",1
"fact",1
"fail",1
"failur",1
"fairi",1
"faisalu",1
"fals",1
"familiar",1
"families",1
"fanaticsu",1
"fans",1
"farrightu",1
"faubourg",1
"fault",1
"fbi",1
